Clay_target
10.2
65.8
64.6
64.2
19.5
20.2
15.3
18.8
19.0
15.6
38.4
39.0
40.4
15.5
12.6
9.2
40.3
38.1
29.3
27.8
28.8
28.4
66.0
66.1
70.2
19.4
18.6
20.6
37.0
39.4
10.8
10.6
15.0
43.0
45.6
43.4
16.3
30.3
16.0
13.9
12.1
26.0
25.8
26.1
21.2
16.9
13.8
24.4
19.9
17.7
19.1
19.4
20.1
19.3
19.6
18.1
56.9
57.9
74.0
69.9
71.0
71.3
8.4
7.5
7.0
32.8
31.2
29.6
14.4
15.3
15.0
8.3
10.2
9.1
32.9
31.9
25.9
13.3
9.5
4.5
28.9
28.8
32.0
7.8
9.2
8.1
23.4
20.3
20.0
39.0
39.0
49.1
30.4
29.6
50.4
38.8
44.0
51.3
16.7
14.3
20.8
19.1
17.3
18.8
35.1
40.6
47.9
48.4
47.0
43.8
21.1
21.4
26.2
30.4
28.9
21.9
70.5
75.2
74.7
91.9
90.3
92.5
43.5
57.5
54.5
21.6
21.1
20.0
71.5
76.0
53.1
79.9
67.3
84.2
51.3
53.0
68.3
80.1
78.3
79.8
58.4
62.5
68.3
19.0
19.9
17.4
16.9
13.0
8.6
16.8
14.2
20.0
13.8
15.0
10.9
9.8
7.3
8.6
23.5
21.8
25.3
11.3
7.8
9.6
29.0
30.9
21.4
48.3
48.9
12.1
11.9
13.1
12.5
12.3
10.7
18.2
19.4
10.7
76.5
70.6
78.8
63.3
61.0
66.1
24.9
22.7
25.3
53.0
54.0
50.8
36.7
39.6
38.3
29.8
25.6
25.2
36.4
33.1
35.0
15.4
13.4
13.2
63.0
61.6
61.1
47.6
45.5
45.5
54.9
55.0
65.4
5.9
6.3
4.6
69.0
71.8
81.1
16.8
12.5
92.6
91.3
90.9
21.7
22.7
19.3
8.4
8.4
7.1
28.6
27.4
37.7
15.9
16.3
14.4
29.9
30.5
32.4
24.6
26.8
21.2
17.6
20.5
20.6
23.4
22.4
16.8
38.2
43.0
15.1
15.7
8.2
9.5
9.0
14.8
15.8
9.6
9.7
11.4
10.5
27.9
29.5
40.2
10.5
9.4
6.2
12.2
9.4
7.0
17.0
15.9
15.9
15.3
13.1
15.5
17.5
17.4
20.5
33.7
37.0
33.0
10.9
12.3
13.2
27.6
30.6
12.9
6.4
7.0
5.1
26.1
25.7
22.4
19.3
16.3
15.6
14.7
12.6
10.3
41.3
40.0
31.1
25.6
25.7
37.0
26.1
27.3
24.7
17.7
16.2
19.2
15.9
16.8
27.0
9.1
12.3
11.2
39.6
39.8
49.0
26.2
28.7
21.8
48.9
51.2
56.4
71.2
72.5
76.3
16.1
14.5
13.2
45.4
48.1
51.8
14.5
13.2
10.1
30.2
30.4
31.6
12.2
12.3
13.7
19.5
19.5
26.7
26.8
25.6
31.6
66.2
66.8
70.1
29.6
33.5
13.1
13.6
13.4
11.2
13.4
13.6
63.0
63.9
72.5
35.0
32.9
49.3
15.3
18.8
13.3
11.8
18.0
18.9
17.1
12.6
4.4
5.5
5.4
89.1
82.9
84.2
4.7
8.5
4.9
29.5
33.4
33.6
20.6
21.0
22.0
21.0
19.3
27.0
10.3
12.2
12.4
11.5
12.0
10.5
25.2
18.1
9.8
9.4
13.6
2.5
5.6
6.8
12.7
10.3
13.0
34.0
35.3
45.4
10.5
11.7
9.9
16.4
18.0
12.9
16.4
15.7
12.0
12.0
11.8
10.3
29.8
28.9
34.0
38.3
36.5
34.6
46.9
53.0
56.4
16.5
17.5
9.7
40.4
41.3
47.5
20.7
18.9
23.5
6.7
9.2
3.3
30.4
27.9
27.2
73.6
70.3
81.0
77.9
76.7
74.2
11.0
11.0
11.8
91.9
88.9
8.4
10.5
8.5
21.6
18.1
12.4
6.4
11.2
6.3
23.1
20.3
17.3
18.6
20.9
16.4
26.8
31.5
38.7
7.1
5.8
7.0
20.1
18.7
19.1
51.4
53.7
54.9
27.6
26.7
26.8
27.3
30.8
30.8
44.9
47.7
56.4
20.7
20.1
10.3
11.0
10.4
13.5
15.6
15.3
72.8
69.9
63.6
13.7
11.3
12.6
20.9
21.4
18.3
21.3
20.8
18.7
19.2
20.5
44.1
41.8
45.5
12.9
13.2
16.6
51.4
62.7
76.1
13.3
14.6
10.5
4.7
6.0
4.2
15.7
13.6
17.9
69.4
82.4
